TIME_NANOSECONDS_TAI,DATA_DELTA_VEL[1],DATA_DELTA_VEL[2],DATA_DELTA_VEL[3],DATA_DELTA_ANGLE[1],DATA_DELTA_ANGLE[2],DATA_DELTA_ANGLE[3]
1.60259601178929e+18,-0.18951416015625,-0.000732421875,-0.04864501953125,-1.9073486328125e-06,0,1.9073486328125e-06
1.60259601180929e+18,-0.18743896484375,6.103515625e-05,-0.04901123046875,0,-3.814697265625e-06,-1.9073486328125e-06
1.6025960118293e+18,-0.18951416015625,-0.000732421875,-0.04949951171875,0,3.814697265625e-06,0
1.60259601184928e+18,-0.188720703125,-0.000732421875,-0.0489501953125,-3.814697265625e-06,0,1.9073486328125e-06
1.60259601186929e+18,-0.19012451171875,-0.0015869140625,-0.049560546875,0,0,-1.9073486328125e-06
1.60259601188929e+18,-0.18896484375,-0.001220703125,-0.048095703125,1.9073486328125e-06,1.9073486328125e-06,-1.9073486328125e-06
1.60259601190928e+18,-0.1884765625,6.103515625e-05,-0.049560546875,1.9073486328125e-06,1.9073486328125e-06,-1.9073486328125e-06
1.60259601192929e+18,-0.19036865234375,-0.00048828125,-0.050048828125,1.9073486328125e-06,1.9073486328125e-06,0
1.60259601194929e+18,-0.18817138671875,-0.000732421875,-0.04815673828125,-3.814697265625e-06,1.9073486328125e-06,-3.814697265625e-06
1.60259601196929e+18,-0.18743896484375,-0.00018310546875,-0.0489501953125,-1.9073486328125e-06,-1.9073486328125e-06,-1.9073486328125e-06
1.60259601198928e+18,-0.18927001953125,-0.00018310546875,-0.0489501953125,0,3.814697265625e-06,-1.9073486328125e-06
1.60259601200929e+18,-0.18951416015625,-0.00103759765625,-0.0498046875,1.9073486328125e-06,3.814697265625e-06,-3.814697265625e-06
1.60259601202929e+18,-0.1898193359375,-0.0009765625,-0.0489501953125,1.9073486328125e-06,1.9073486328125e-06,3.814697265625e-06
1.60259601204928e+18,-0.18768310546875,-0.00018310546875,-0.0487060546875,-1.9073486328125e-06,1.9073486328125e-06,-3.814697265625e-06
1.60259601206929e+18,-0.1900634765625,-0.00103759765625,-0.04925537109375,-1.9073486328125e-06,0,-1.9073486328125e-06
1.60259601208929e+18,-0.18817138671875,-0.00018310546875,-0.04949951171875,0,0,0
1.60259601210928e+18,-0.18878173828125,-0.00048828125,-0.04840087890625,-1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06
1.60259601212928e+18,-0.1905517578125,-0.00152587890625,-0.0498046875,-3.814697265625e-06,0,-1.9073486328125e-06
1.60259601214929e+18,-0.188232421875,-0.00018310546875,-0.04925537109375,-1.9073486328125e-06,1.9073486328125e-06,-1.9073486328125e-06
1.60259601216929e+18,-0.1884765625,-0.00048828125,-0.04840087890625,0,1.9073486328125e-06,0
1.60259601218928e+18,-0.18927001953125,-0.00128173828125,-0.04925537109375,0,1.9073486328125e-06,-1.9073486328125e-06
1.60259601220928e+18,-0.188720703125,-0.00018310546875,-0.04925537109375,-1.9073486328125e-06,0,0
1.60259601222929e+18,-0.18927001953125,-0.000732421875,-0.0498046875,-1.9073486328125e-06,1.9073486328125e-06,0
1.60259601224928e+18,-0.18927001953125,-0.000732421875,-0.04864501953125,-1.9073486328125e-06,1.9073486328125e-06,-1.9073486328125e-06
1.60259601226928e+18,-0.1895751953125,-0.000732421875,-0.0487060546875,-1.9073486328125e-06,1.9073486328125e-06,-1.9073486328125e-06
1.60259601228929e+18,-0.188720703125,-0.00103759765625,-0.048095703125,0,-1.9073486328125e-06,1.9073486328125e-06
1.60259601230928e+18,-0.18768310546875,0.0001220703125,-0.04986572265625,1.9073486328125e-06,0,0
1.60259601232928e+18,-0.1903076171875,-0.00103759765625,-0.0498046875,0,1.9073486328125e-06,-1.9073486328125e-06
1.60259601234928e+18,-0.18902587890625,-0.000732421875,-0.04840087890625,-1.9073486328125e-06,1.9073486328125e-06,-1.9073486328125e-06
1.60259601236929e+18,-0.1884765625,-0.000732421875,-0.04864501953125,1.9073486328125e-06,0,-1.9073486328125e-06
1.60259601238928e+18,-0.18817138671875,-0.00018310546875,-0.0489501953125,0,3.814697265625e-06,0
1.60259601240928e+18,-0.1895751953125,-0.00018310546875,-0.049560546875,0,1.9073486328125e-06,0
1.60259601242929e+18,-0.18927001953125,-0.000732421875,-0.04840087890625,1.9073486328125e-06,1.9073486328125e-06,-1.9073486328125e-06
1.60259601244927e+18,-0.1900634765625,-0.00128173828125,-0.05035400390625,-1.9073486328125e-06,1.9073486328125e-06,0
1.60259601246928e+18,-0.188720703125,-0.00103759765625,-0.04730224609375,-1.9073486328125e-06,3.814697265625e-06,-1.9073486328125e-06
1.60259601248928e+18,-0.1884765625,0.0003662109375,-0.050048828125,0,0,-1.9073486328125e-06
1.60259601250929e+18,-0.188720703125,-0.00152587890625,-0.04840087890625,0,0,0
1.60259601252928e+18,-0.188232421875,6.103515625e-05,-0.04925537109375,-1.9073486328125e-06,-1.9073486328125e-06,-1.9073486328125e-06
1.60259601254928e+18,-0.18902587890625,-0.00048828125,-0.0498046875,0,0,0
1.60259601256929e+18,-0.19085693359375,-0.00152587890625,-0.049560546875,0,3.814697265625e-06,-3.814697265625e-06
1.60259601258927e+18,-0.18896484375,-0.00018310546875,-0.04949951171875,-3.814697265625e-06,1.9073486328125e-06,0
1.60259601260928e+18,-0.188232421875,-0.000732421875,-0.0489501953125,0,0,0
1.60259601262928e+18,-0.18902587890625,-0.000244140625,-0.049560546875,1.9073486328125e-06,0,-3.814697265625e-06
1.60259601264927e+18,-0.18975830078125,-0.0020751953125,-0.0489501953125,-3.814697265625e-06,1.9073486328125e-06,-5.7220458984375e-06
1.60259601266928e+18,-0.18878173828125,-0.000732421875,-0.04949951171875,-1.9073486328125e-06,1.9073486328125e-06,-3.814697265625e-06
1.60259601268928e+18,-0.1884765625,-0.000732421875,-0.0487060546875,0,-1.9073486328125e-06,0
1.60259601270928e+18,-0.18951416015625,-0.00018310546875,-0.04949951171875,-1.9073486328125e-06,1.9073486328125e-06,0
1.60259601272927e+18,-0.188720703125,6.103515625e-05,-0.0487060546875,-1.9073486328125e-06,1.9073486328125e-06,-1.9073486328125e-06
1.60259601274928e+18,-0.18927001953125,-0.00177001953125,-0.048095703125,1.9073486328125e-06,0,-1.9073486328125e-06
1.60259601276928e+18,-0.1898193359375,-0.00103759765625,-0.04925537109375,1.9073486328125e-06,-1.9073486328125e-06,1.9073486328125e-06
1.60259601278927e+18,-0.18792724609375,-0.00018310546875,-0.0498046875,0,1.9073486328125e-06,-1.9073486328125e-06
1.60259601280928e+18,-0.18927001953125,-0.00128173828125,-0.04815673828125,-1.9073486328125e-06,0,-1.9073486328125e-06
1.60259601282928e+18,-0.188232421875,6.103515625e-05,-0.04949951171875,0,3.814697265625e-06,0
1.60259601284927e+18,-0.188720703125,6.103515625e-05,-0.04925537109375,0,3.814697265625e-06,0
1.60259601286927e+18,-0.18927001953125,-0.000732421875,-0.0489501953125,0,5.7220458984375e-06,0
1.60259601288928e+18,-0.19061279296875,-0.00152587890625,-0.0498046875,0,-3.814697265625e-06,-3.814697265625e-06
1.60259601290928e+18,-0.188720703125,-0.000732421875,-0.0487060546875,-1.9073486328125e-06,1.9073486328125e-06,-1.9073486328125e-06
1.60259601292927e+18,-0.18768310546875,6.103515625e-05,-0.0487060546875,-1.9073486328125e-06,-3.814697265625e-06,0
1.60259601294927e+18,-0.1898193359375,-0.0009765625,-0.04949951171875,1.9073486328125e-06,3.814697265625e-06,-1.9073486328125e-06
1.60259601296928e+18,-0.18768310546875,-0.00018310546875,-0.04840087890625,1.9073486328125e-06,3.814697265625e-06,0
1.60259601298927e+18,-0.19085693359375,-0.00128173828125,-0.0506591796875,0,3.814697265625e-06,1.9073486328125e-06
1.60259601300927e+18,-0.18792724609375,-0.00048828125,-0.04754638671875,0,1.9073486328125e-06,-1.9073486328125e-06
1.60259601302928e+18,-0.18927001953125,-0.00018310546875,-0.0506591796875,0,0,-1.9073486328125e-06
1.60259601304927e+18,-0.1898193359375,-0.00152587890625,-0.04840087890625,1.9073486328125e-06,1.9073486328125e-06,-1.9073486328125e-06
1.60259601306927e+18,-0.18768310546875,-0.000244140625,-0.048095703125,-1.9073486328125e-06,3.814697265625e-06,-1.9073486328125e-06
1.60259601308927e+18,-0.18975830078125,-0.00018310546875,-0.0498046875,-3.814697265625e-06,-1.9073486328125e-06,1.9073486328125e-06
1.60259601310928e+18,-0.188232421875,-0.000732421875,-0.0498046875,-1.9073486328125e-06,0,-1.9073486328125e-06
1.60259601312927e+18,-0.188720703125,-0.000732421875,-0.04901123046875,0,1.9073486328125e-06,-1.9073486328125e-06
1.60259601314927e+18,-0.1898193359375,-0.000732421875,-0.0491943359375,0,0,-1.9073486328125e-06
1.60259601316928e+18,-0.18927001953125,-0.00152587890625,-0.04840087890625,-3.814697265625e-06,0,0
1.60259601318927e+18,-0.18927001953125,-0.00048828125,-0.05010986328125,1.9073486328125e-06,0,0
1.60259601320927e+18,-0.188232421875,-0.000732421875,-0.048095703125,0,0,0
1.60259601322927e+18,-0.188720703125,-0.00018310546875,-0.04901123046875,1.9073486328125e-06,3.814697265625e-06,-1.9073486328125e-06
1.60259601324926e+18,-0.1900634765625,-0.0020751953125,-0.04949951171875,-1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06
1.60259601326927e+18,-0.18902587890625,0.00030517578125,-0.049560546875,3.814697265625e-06,1.9073486328125e-06,-1.9073486328125e-06
1.60259601328927e+18,-0.18927001953125,-0.0009765625,-0.04949951171875,0,1.9073486328125e-06,0
1.60259601330928e+18,-0.1876220703125,6.103515625e-05,-0.0478515625,0,0,-1.9073486328125e-06
1.60259601332926e+18,-0.1893310546875,-0.00018310546875,-0.04925537109375,-3.814697265625e-06,-1.9073486328125e-06,1.9073486328125e-06
1.60259601334927e+18,-0.18841552734375,-0.0009765625,-0.0489501953125,-1.9073486328125e-06,-1.9073486328125e-06,-1.9073486328125e-06
1.60259601336927e+18,-0.19012451171875,-0.00079345703125,-0.0489501953125,-1.9073486328125e-06,1.9073486328125e-06,0
1.60259601338926e+18,-0.1876220703125,0.0001220703125,-0.0489501953125,-1.9073486328125e-06,0,-3.814697265625e-06
1.60259601340927e+18,-0.1895751953125,-0.00128173828125,-0.0498046875,-1.9073486328125e-06,-1.9073486328125e-06,-3.814697265625e-06
1.60259601342927e+18,-0.188720703125,-0.00048828125,-0.04901123046875,1.9073486328125e-06,3.814697265625e-06,0
1.60259601344927e+18,-0.18927001953125,-0.00042724609375,-0.0491943359375,0,0,1.9073486328125e-06
1.60259601346926e+18,-0.18902587890625,-0.00128173828125,-0.04925537109375,0,0,0
1.60259601348927e+18,-0.188720703125,-0.00048828125,-0.04901123046875,0,0,-3.814697265625e-06
1.60259601350927e+18,-0.1903076171875,-0.0009765625,-0.05035400390625,0,0,-3.814697265625e-06
1.60259601352926e+18,-0.188232421875,-0.00048828125,-0.048095703125,0,1.9073486328125e-06,0
1.60259601354927e+18,-0.18927001953125,-0.000732421875,-0.049560546875,0,0,0
1.60259601356927e+18,-0.18927001953125,-0.00103759765625,-0.048095703125,0,0,-1.9073486328125e-06
1.60259601358926e+18,-0.18951416015625,-0.00042724609375,-0.0489501953125,1.9073486328125e-06,1.9073486328125e-06,-1.9073486328125e-06
1.60259601360926e+18,-0.18768310546875,-0.00048828125,-0.0489501953125,-1.9073486328125e-06,0,1.9073486328125e-06
1.60259601362927e+18,-0.1900634765625,-0.00018310546875,-0.05010986328125,1.9073486328125e-06,3.814697265625e-06,-3.814697265625e-06
1.60259601364927e+18,-0.18878173828125,-0.000732421875,-0.0487060546875,0,1.9073486328125e-06,0
1.60259601366926e+18,-0.1876220703125,6.103515625e-05,-0.04864501953125,1.9073486328125e-06,3.814697265625e-06,-1.9073486328125e-06
1.60259601368927e+18,-0.18902587890625,-0.0009765625,-0.04840087890625,-1.9073486328125e-06,0,-1.9073486328125e-06
1.60259601370927e+18,-0.1898193359375,-0.000732421875,-0.0498046875,1.9073486328125e-06,1.9073486328125e-06,-1.9073486328125e-06
1.60259601372926e+18,-0.18902587890625,-0.00128173828125,-0.04901123046875,-1.9073486328125e-06,0,0
1.60259601374926e+18,-0.18841552734375,6.103515625e-05,-0.04949951171875,-3.814697265625e-06,0,1.9073486328125e-06
1.60259601376927e+18,-0.1895751953125,-0.00128173828125,-0.04949951171875,0,1.9073486328125e-06,-1.9073486328125e-06
1.60259601378926e+18,-0.18927001953125,-0.00018310546875,-0.04925537109375,-1.9073486328125e-06,3.814697265625e-06,0
1.60259601380926e+18,-0.188720703125,-0.000732421875,-0.04840087890625,1.9073486328125e-06,0,1.9073486328125e-06
1.60259601382926e+18,-0.18792724609375,-0.00048828125,-0.04901123046875,-3.814697265625e-06,1.9073486328125e-06,-3.814697265625e-06
1.60259601384927e+18,-0.1900634765625,-0.0009765625,-0.0489501953125,-3.814697265625e-06,1.9073486328125e-06,0
1.60259601386926e+18,-0.1884765625,6.103515625e-05,-0.04840087890625,-1.9073486328125e-06,0,-1.9073486328125e-06
1.60259601388926e+18,-0.1898193359375,-0.00103759765625,-0.04949951171875,1.9073486328125e-06,1.9073486328125e-06,0
1.60259601390927e+18,-0.188720703125,-0.000732421875,-0.04925537109375,0,-1.9073486328125e-06,0
1.60259601392926e+18,-0.18902587890625,-0.00018310546875,-0.04925537109375,-1.9073486328125e-06,0,0
1.60259601394926e+18,-0.18927001953125,-0.00152587890625,-0.04840087890625,-3.814697265625e-06,0,-1.9073486328125e-06
1.60259601396926e+18,-0.18927001953125,-0.00018310546875,-0.04949951171875,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06
1.60259601398925e+18,-0.1884765625,-0.000732421875,-0.0487060546875,-3.814697265625e-06,0,-3.814697265625e-06
1.60259601400926e+18,-0.18902587890625,-0.00048828125,-0.0489501953125,-1.9073486328125e-06,3.814697265625e-06,0
